CID;TABCD;LCD;CLASS;TCD;STCD;ROADNUMBER;ROADNAME;FIRSTNAME;SECONDNAME;AREA_REF;AREA_NAME
11;25;26934;L;1;4;III/4803;;Krmelín;Proskovice;93;Moravskoslezskı kraj
11;25;39518;L;5;0;;Bynovská;Teplická;Alešova;31504;Dìèín
11;25;38914;L;5;0;;Údolní;Lunická;Budìjovická;30760;Tábor
11;25;38463;L;5;0;;propojka Vyšnı;U Kasáren;Vyšenská;30195;Èeskı Krumlov
11;25;5218;L;5;0;;Mrštíkova;Jana Masaryka;Náhon;32194;Hradec Králové
11;25;37437;L;1;4;III/13531;;Planá nad Lunicí;Tuèapy;119;Tábor
11;25;47203;L;1;4;III/2513;;Havraò;Postoloprty;133;Louny
11;25;53494;L;5;0;;Masarykova;Vìní;nám. Svobody;28549;Šternberk
11;25;26550;L;5;0;;Všetatská;Semilská;Polabská;180;Praha-Èakovice
11;25;39917;L;5;0;;Bezruèova;Èeòka Zemana;el. stanice;31863;Louny
11;25;44520;L;7;0;;;D8 Praha;II/608 Doksany;31801;Nové Dvory
11;25;15338;L;1;4;III/00318;;Hluboèinka;Øíèany;109;Praha-vıchod
11;25;27729;L;5;0;;Hlavní;Seifertova;Vodaøská;31012;Ústí nad Labem
11;25;51423;L;7;0;;;I/57 Valašské Meziøíèí;Semetín;29965;Vsetín
11;25;5051;L;5;0;;Pod Kotláøkou;Plzeòská;Kotláøka;206;Praha 5
11;25;44890;L;7;0;;;exit Plotištì;D11 Praha;32309;Všestary
11;25;21093;L;1;4;III/0066;;Jeneè;Hostouò;81;Støedoèeskı kraj
11;25;42781;L;1;4;III/4661;;Komárovské Chaloupky;Opava;28563;Opava
11;25;27446;L;5;0;;tø. 28. øíjna;Na Sadech;B. Smetany;30084;Èeské Budìjovice
11;25;9044;L;5;0;;Nábøení;Hoøejší nábøeí;Janáèkovo nábøeí;206;Praha 5
11;25;37182;L;5;0;;Lánice;Jihlavská;Rùová;34515;Velká Bíteš
11;25;50564;L;1;4;III/49718;;Prakšice;Høivínùv Újezd;92;Zlínskı kraj
11;25;9026;L;5;0;;Italská;nám. Míru;Seifertova;31010;Hl. m. Praha
11;25;46466;L;1;4;III/14418;;Vimperk;Strunkovice nad Blanicí;117;Prachatice
11;25;21041;L;1;4;III/23758;;Úpohlavy;Èíkovice;132;Litomìøice
11;25;43385;L;7;0;;;D1 Praha;II/386 Ostrovaèice;33364;Ostrovaèice
11;25;9107;L;1;3;II/165;;Blaejovice;Ktiš;117;Prachatice
11;25;15302;L;1;4;III/3308;;Poøíèany;Semice;81;Støedoèeskı kraj
11;25;15121;L;1;4;III/4288;;Švábenice;Medlovice;160;Vyškov
11;25;27683;L;5;0;;Jizerská;Koèkovská;Vıstupní;31012;Ústí nad Labem
