CID;TABCD;LCD;CLASS;TCD;STCD;ROADNUMBER;ROADNAME;FIRSTNAME;SECONDNAME;AREA_REF;AREA_NAME;ROA_LCD;ROA_TYPE;NEG_OFF;POS_OFF
11;25;626;L;3;0;I/3;;Èeské Budìjovice;Tábor;82;Jihoèeský kraj;323;L1.2;625;627
11;25;627;L;3;0;I/3;;Tábor;Benešov;10;Èesko;323;L1.2;626;628
11;25;628;L;3;0;I/3;;Benešov;Praha;81;Støedoèeský kraj;323;L1.2;627;0
11;25;37576;L;3;0;II/331;;Mìlník;Stará Boleslav;81;Støedoèeský kraj;9267;L1.3;0;37577
11;25;37577;L;3;0;II/331;;Stará Boleslav;Podìbrady;81;Støedoèeský kraj;9267;L1.3;37576;0
11;25;701;L;3;0;I/43;;Brno;Svitavy;10;Èesko;362;L1.2;0;702
11;25;702;L;3;0;I/43;;Svitavy;K³odzko (PL);10;Èesko;362;L1.2;701;0
11;25;606;L;3;0;D1;;Praha;Brno;10;Èesko;317;L1.1;0;607
11;25;607;L;3;0;D1;;Brno;Hulín;10;Èesko;317;L1.1;606;873
11;25;873;L;3;0;D1;;Hulín;Lipník nad Beèvou;56;Støední Morava;317;L1.1;607;870
11;25;870;L;3;0;D1;;Lipník nad Beèvou;Bìlotín;165;Pøerov;317;L1.1;873;871
11;25;871;L;3;0;D1;;Bìlotín;Ostrava;10;Èesko;317;L1.1;870;872
11;25;872;L;3;0;D1;;Ostrava;Bohumín;93;Moravskoslezský kraj;317;L1.1;871;0
11;25;37594;L;3;0;II/201;;Tirschenreuth (D);Planá;126;Tachov;9141;L1.3;0;37595
11;25;37595;L;3;0;II/201;;Planá;Praha;10;Èesko;9141;L1.3;37594;0
11;25;662;L;3;0;I/18;;Rožmitál pod Tøemšínem;Pøíbram;111;Pøíbram;337;L1.2;0;746
11;25;746;L;3;0;I/18;;Pøíbram;Votice;81;Støedoèeský kraj;337;L1.2;662;0
11;25;24388;L;3;0;II/101;Pražský vnìjší okruh;Lahovice;Kladno;10;Èesko;1094;L1.3;0;24389
11;25;24389;L;3;0;II/101;Pražský vnìjší okruh;Kladno;Kralupy nad Vltavou;81;Støedoèeský kraj;1094;L1.3;24388;24390
11;25;24390;L;3;0;II/101;Pražský vnìjší okruh;Kralupy nad Vltavou;Neratovice;106;Mìlník;1094;L1.3;24389;24391
11;25;24391;L;3;0;II/101;Pražský vnìjší okruh;Neratovice;Brandýs nad Labem;81;Støedoèeský kraj;1094;L1.3;24390;24392
11;25;24392;L;3;0;II/101;Pražský vnìjší okruh;Brandýs nad Labem;Øíèany;109;Praha-východ;1094;L1.3;24391;24393
11;25;24393;L;3;0;II/101;Pražský vnìjší okruh;Øíèany;Zbraslav;10;Èesko;1094;L1.3;24392;0
11;25;24290;L;3;0;;Kolištì;Lidická;Køenová;255;Brno-støed;24289;L2.2;24294;24291
11;25;24291;L;3;0;;Dornych;Køenová;Plotní;255;Brno-støed;24289;L2.2;24290;24292
11;25;24292;L;3;0;;Úzká;Plotní;Nádražní;255;Brno-støed;24289;L2.2;24291;24293
11;25;24293;L;3;0;;Husova;Nádražní;Komenského nám.;255;Brno-støed;24289;L2.2;24292;24294
11;25;24294;L;3;0;;Žerotínovo nám.;Komenského nám.;Lidická;255;Brno-støed;24289;L2.2;24293;24290
11;25;23624;L;3;0;II/474;;Èadca (SK);Hrádek;172;Frýdek-Místek;23623;L1.3;0;23625
11;25;23625;L;3;0;II/474;;Hnojník;Tìrlicko;93;Moravskoslezský kraj;23623;L1.3;23624;23626
11;25;23626;L;3;0;II/474;;Tìrlicko;Karviná;173;Karviná;23623;L1.3;23625;23627
11;25;23627;L;3;0;II/474;;Karviná;Bohumín;173;Karviná;23623;L1.3;23626;0
11;25;23959;L;3;0;D6;;Cheb;Sokolov;84;Karlovarský kraj;35674;L1.1;0;23960
11;25;23960;L;3;0;D6;;Sokolov;Karlovy Vary;84;Karlovarský kraj;35674;L1.1;23959;23966
11;25;23966;L;3;0;D6;;Karlovy Vary;Praha;10;Èesko;35674;L1.1;23960;0
11;25;24284;L;3;0;II/150;Blahoslavova;Plumlovská;Kostelecká;33852;Prostìjov;24283;L2.2;24288;24285
11;25;24285;L;3;0;II/150;Vápenice;Kostelecká;Svatoplukova;33852;Prostìjov;24283;L2.2;24284;24286
11;25;24286;L;3;0;II/150;Újezd;Svatoplukova;Dolní;33852;Prostìjov;24283;L2.2;24285;24287
11;25;24287;L;3;0;II/150;Wolkerova;Dolní;Žeranovská;33852;Prostìjov;24283;L2.2;24286;24288
11;25;24288;L;3;0;II/150;Palackého;Žeranovská;Plumlovská;33852;Prostìjov;24283;L2.2;24287;24284
11;25;855;L;3;0;I/30;;Lovosice;Ústí nad Labem;85;Ústecký kraj;349;L1.2;0;856
11;25;856;L;3;0;I/30;;Ústí nad Labem;Chlumec;136;Ústí nad Labem;349;L1.2;855;0
11;25;623;L;3;0;I/2;;Praha;Kutná Hora;10;Èesko;322;L1.2;0;624
11;25;624;L;3;0;I/2;;Kutná Hora;Pardubice;10;Èesko;322;L1.2;623;0
11;25;839;L;3;0;II/434;;Prostìjov;Pøerov;91;Olomoucký kraj;9518;L1.3;0;840
11;25;840;L;3;0;II/434;;Pøerov;Lipník nad Beèvou;165;Pøerov;9518;L1.3;839;0
11;25;23669;L;3;0;I/52;;Mistelbach (A);Pohoøelice;90;Jihomoravský kraj;371;L1.2;0;23671
11;25;23671;L;3;0;I/52;;Rajhrad;Brno;90;Jihomoravský kraj;371;L1.2;23669;0
11;25;608;L;3;0;D2;;Bratislava (SK);Bøeclav;158;Bøeclav;319;L1.1;0;609
11;25;609;L;3;0;D2;;Bøeclav;Brno;90;Jihomoravský kraj;319;L1.1;608;0
11;25;665;L;3;0;I/20;;Èeské Budìjovice;Písek;82;Jihoèeský kraj;339;L1.2;0;666
11;25;666;L;3;0;I/20;;Písek;Plzeò;52;Jihozápad;339;L1.2;665;667
11;25;667;L;3;0;I/20;;Plzeò;Karlovy Vary;10;Èesko;339;L1.2;666;0
11;25;660;L;3;0;I/17;;Èáslav;Chrudim;10;Èesko;336;L1.2;0;661
11;25;661;L;3;0;I/17;;Chrudim;Vysoké Mýto;88;Pardubický kraj;336;L1.2;660;0
11;25;767;L;3;0;II/230;;Nepomuk;Støíbro;83;Plzeòský kraj;9170;L1.3;0;768
11;25;768;L;3;0;II/230;;Støíbro;Planá;126;Tachov;9170;L1.3;767;37593
11;25;37593;L;3;0;II/230;;Planá;Karlovy Vary;84;Karlovarský kraj;9170;L1.3;768;0
11;25;732;L;3;0;I/42;Velký mìstský okruh Brno;Sportovní;Bítešská;33294;Brno;361;L2.2;734;733
11;25;733;L;3;0;I/42;Velký mìstský okruh Brno;Bítešská;Èernovická;33294;Brno;361;L2.2;732;734
